transaction_id,payee_vpa,merchant_code,location,device,transaction_type,amount,timestamp,fraud_flag
TXN000001,arun@upi,6019,Vadodara,iOS,high,2609.87,2025-09-29 04:47:02,0
TXN000002,suman@upi,6015,Nagpur,iOS,normal,36069.35,2025-09-27 23:18:02,0
TXN000003,pallavi@upi,6023,Nashik,iOS,high,14181.19,2025-10-04 05:00:02,0
TXN000004,priya@upi,4111,Chennai,Android,normal,15734.96,2025-09-19 02:45:02,1
TXN000005,siddharth@upi,6021,Agra,iOS,low,45760.99,2025-10-07 07:52:02,0
TXN000006,isha@upi,6015,Meerut,Android,low,1048.32,2025-09-27 15:48:02,0
TXN000007,raj@upi,4111,Delhi,Android,normal,40330.4,2025-10-03 17:54:02,0
TXN000008,vikas@upi,6014,Patna,iOS,low,11748.95,2025-10-04 13:33:02,0
TXN000009,raj@upi,6016,Nashik,Android,high,33839.24,2025-10-01 20:51:02,0
TXN000010,priya@upi,6017,Bangalore,iOS,normal,41470.77,2025-10-06 08:18:02,1
TXN000011,raj@upi,6022,Lucknow,iOS,normal,47436.86,2025-09-08 21:55:02,0
TXN000012,kavita@upi,6014,Agra,Android,low,48640.79,2025-10-06 13:12:02,1
TXN000013,nisha@upi,6021,Surat,iOS,low,39400.02,2025-09-20 21:44:02,0
TXN000014,isha@upi,6014,Kanpur,Android,low,43878.21,2025-09-27 22:20:02,1
TXN000015,suresh@upi,6024,Surat,iOS,high,10350.39,2025-09-28 07:24:02,1
TXN000016,shreya@upi,6011,Mumbai,Android,low,46178.13,2025-09-24 14:05:02,0
TXN000017,sachin@upi,6011,Vijayawada,Android,normal,5019.89,2025-09-24 11:55:02,0
TXN000018,anil@upi,6018,Agra,Android,high,45210.96,2025-09-08 11:58:02,0
TXN000019,neha@upi,6017,Pune,Android,normal,22066.24,2025-09-12 07:16:02,1
TXN000020,amit@upi,4112,Delhi,Android,normal,43085.1,2025-10-07 04:15:02,0
TXN000021,deepak@upi,5413,Raipur,Android,low,33365.43,2025-10-05 14:56:02,0
TXN000022,deepak@upi,6016,Lucknow,Android,high,14032.64,2025-09-28 22:01:02,1
TXN000023,suresh@upi,5816,Jodhpur,Android,high,21855.7,2025-09-17 05:28:02,1
TXN000024,tina@upi,6028,Aurangabad,Android,normal,27761.96,2025-09-19 21:15:02,0
TXN000025,kiran@upi,6024,Mumbai,Android,low,44843.41,2025-09-29 04:50:02,0
TXN000026,priya@upi,5814,Meerut,Android,high,23535.86,2025-09-10 02:41:02,1
TXN000027,anil@upi,6017,Mumbai,iOS,high,15601.49,2025-09-28 04:28:02,1
TXN000028,kiran@upi,4112,Jaipur,Android,normal,19692.76,2025-09-20 09:01:02,1
TXN000029,raj@upi,6022,Vijayawada,Android,low,33952.86,2025-09-09 20:54:02,0
TXN000030,poornima@upi,5816,Raipur,iOS,normal,39285.48,2025-09-16 02:30:02,1
TXN000031,arvind@upi,6014,Madurai,Android,normal,14266.06,2025-10-02 02:18:02,0
TXN000032,pallavi@upi,5816,Bhopal,Android,normal,8756.64,2025-09-21 17:59:02,0
TXN000033,vinay@upi,6011,Chennai,iOS,low,37166.08,2025-10-03 14:36:02,1
TXN000034,rohit@upi,7299,Ahmedabad,iOS,normal,21395.82,2025-09-25 15:12:02,0
TXN000035,nisha@upi,5611,Agra,iOS,low,48264.19,2025-09-20 21:21:02,1
TXN000036,manoj@upi,5816,Bhopal,Android,normal,14027.46,2025-09-17 15:48:02,1
TXN000037,neha@upi,5815,Kolkata,Android,high,17847.29,2025-09-17 02:00:02,1
TXN000038,manoj@upi,6017,Chennai,iOS,normal,30029.84,2025-09-13 04:21:02,0
TXN000039,priya@upi,6016,Vadodara,iOS,high,2083.4,2025-09-21 23:20:02,0
TXN000040,manoj@upi,6019,Chennai,Android,normal,29530.05,2025-10-08 06:10:02,1
TXN000041,kajal@upi,4111,Patna,iOS,high,30591.91,2025-09-27 18:29:02,0
TXN000042,poornima@upi,6016,Bangalore,Android,high,8047.4,2025-10-07 01:55:02,1
TXN000043,manish@upi,6022,Visakhapatnam,iOS,normal,4831.64,2025-09-30 14:16:02,1
TXN000044,priya@upi,6021,Visakhapatnam,iOS,low,46428.92,2025-09-29 05:53:02,1
TXN000045,suman@upi,6019,Coimbatore,iOS,low,27074.32,2025-09-08 15:29:02,1
TXN000046,gautam@upi,6020,Kochi,Android,normal,40325.92,2025-09-27 13:45:02,0
TXN000047,manish@upi,5813,Gwalior,iOS,high,29323.88,2025-09-23 21:02:02,0
TXN000048,ravi@upi,6017,Ahmedabad,iOS,low,49849.87,2025-09-15 03:54:02,0
TXN000049,deepak@upi,6026,Patna,Android,high,11215.81,2025-09-07 22:20:02,0
TXN000050,akshay@upi,7299,Delhi,Android,normal,37867.53,2025-09-15 22:19:02,0
TXN000051,manoj@upi,5816,Pune,iOS,low,41725.38,2025-10-01 15:44:02,1
TXN000052,naveen@upi,6022,Jodhpur,Android,normal,35166.7,2025-09-20 15:02:02,0
TXN000053,anil@upi,4112,Kolkata,iOS,low,11835.0,2025-09-07 19:00:02,1
TXN000054,isha@upi,6012,Kolkata,Android,normal,18434.18,2025-09-25 11:15:02,1
TXN000055,vinay@upi,5611,Surat,iOS,high,11585.06,2025-09-24 22:05:02,0
TXN000056,anita@upi,5816,Chennai,Android,normal,44763.07,2025-10-06 19:34:02,0
TXN000057,tina@upi,6020,Jaipur,Android,normal,17670.83,2025-09-29 20:32:02,1
TXN000058,pallavi@upi,6028,Indore,Android,high,25378.05,2025-09-10 18:31:02,1
TXN000059,shyam@upi,6026,Vijayawada,iOS,high,33617.0,2025-09-17 12:48:02,1
TXN000060,manoj@upi,5411,Meerut,Android,low,32132.16,2025-09-27 14:48:02,1
TXN000061,rohit@upi,5815,Indore,iOS,low,42328.62,2025-09-22 04:39:02,0
TXN000062,tina@upi,5812,Indore,Android,low,196.57,2025-09-29 05:34:02,1
TXN000063,shyam@upi,6027,Kanpur,Android,low,32451.11,2025-10-01 21:34:02,0
